,0
230,271.51858000000004
231,95.49168999999999
232,93.13422
233,149.55259999999998
234,144.73752000000002
235,164.29843
236,131.83642
237,336.35056999999995
238,147.30033
239,138.69362999999998
240,142.71434
241,132.74047000000002
242,149.22396
243,126.07276999999999
244,128.97694
245,164.32958000000002
246,217.93734
247,196.66959000000003
248,123.69988999999998
249,83.37527
250,79.75622
251,74.10745
252,75.2571
253,96.97332999999999
254,244.25967000000003
255,99.24024
256,593.69008
257,676.1915
258,232.5771
259,232.47259000000003
260,198.99647
261,480.52992
262,158.62486
263,148.31801
264,159.77642999999998
265,133.57975
266,122.36747
267,122.58470999999999
268,125.50656000000001
269,137.09457
270,166.97714
271,163.45038
272,101.30327
273,67.69906
274,63.28748
275,73.29213999999999
276,93.84294
277,81.86415000000001
278,91.09844999999999
279,98.00997
280,98.83923000000001
281,147.85589
282,185.38833
283,175.00123
284,147.10922
285,141.36476
286,138.66853
287,124.65569000000002
288,131.03802000000002
289,128.79951
290,131.36422
291,130.44911000000002
292,130.56989
293,132.02087
294,142.71702
295,126.68391000000001
296,105.28451
297,95.58636
298,39.64323
299,28.99369
300,47.431760000000004
301,86.92259
302,95.10272
303,132.13974000000002
304,122.78718
305,188.29705
306,219.23001000000002
307,227.71772
308,180.68904999999998
309,144.17917
310,146.92545
311,125.78682
312,164.43683
313,125.99126
314,113.18321
315,118.00307000000001
316,128.97145
317,180.45727
318,221.34878000000003
319,208.2489
320,140.29095
321,104.91327999999999
322,92.98792
323,79.2344
324,90.45841000000001
325,101.98567
326,118.47512
327,120.69331
328,160.29895
329,181.7272
330,268.28627
331,245.21673
332,193.36599999999999
333,159.57456
334,140.22252
335,137.86956
336,134.79419000000001
337,131.81631
338,123.82495
339,135.85179
340,153.32056
341,164.75116
342,180.71644
343,173.33640000000003
344,121.59707
345,93.92934
346,104.01113
347,159.14690000000002
348,236.94828
349,149.23756
350,368.53835999999995
351,188.50205
352,552.52232
353,471.17111
354,2339.79
355,682.80249
356,278.46192
357,179.18515
358,176.59771999999998
359,159.33662999999999
360,154.8994
361,148.38555000000002
362,149.79224
363,152.2093
364,164.93053
365,225.47008
366,193.3453
367,168.79795
368,124.67839000000001
369,131.80477
370,241.5035
371,268.92083
372,365.32757
373,157.53307
374,577.45147
375,201.35001
376,244.17882999999998
377,223.56772
378,200.71767
379,218.33561
380,200.51599
381,168.45545
382,142.80366999999998
383,112.12134
384,131.56427
385,123.10564
386,121.16597
387,113.24646
388,113.95582999999999
389,131.89596999999998
390,158.17711
391,156.81615
392,109.81021
393,128.86473
394,105.27557
395,108.60029
396,84.56935
397,86.77475000000001
398,224.45079
399,122.18584000000001
400,179.65843
401,165.20860000000002
402,215.40347
403,202.16114
404,182.53742
405,190.36817
406,156.46602000000001
407,134.24041
408,117.46217999999999
409,104.01796
410,115.12001000000001
411,114.40599999999999
412,125.25131999999999
413,130.48928999999998
414,143.6412
415,139.85096000000001
416,115.43768
417,86.40156999999999
418,83.17208
419,92.82449
420,85.99711
421,85.36901
422,88.72852
423,91.0789
424,105.89003
425,135.71577
426,182.42502
