,_id,userInputs,userID,sessionID,stationID,spaceID,siteID,clusterID,connectionTime,disconnectTime,kWhDelivered,doneChargingTime,timezone
2399,5e17d39ef9af8b3a57ba0fb9,"[{'userID': 743, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 65, 'modifiedAt': 'Tue, 24 Dec 2019 16:50:03 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 24 Dec 2019 17:54:18 GMT', 'kWhRequested': 8.0}]",000000743,2_39_89_25_2019-12-24 16:49:17.973181,2-39-89-25,CA-315,0002,0039,"Tue, 24 Dec 2019 16:49:18 GMT","Tue, 24 Dec 2019 18:45:17 GMT",5.724,"Tue, 24 Dec 2019 18:41:48 GMT",America/Los_Angeles
2400,5e17d39ef9af8b3a57ba0fb9,"[{'userID': 743, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 65, 'modifiedAt': 'Tue, 24 Dec 2019 16:50:03 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 24 Dec 2019 17:54:18 GMT', 'kWhRequested': 8.0}]",000000743,2_39_89_25_2019-12-24 16:49:17.973181,2-39-89-25,CA-315,0002,0039,"Tue, 24 Dec 2019 16:49:18 GMT","Tue, 24 Dec 2019 18:45:17 GMT",5.724,"Tue, 24 Dec 2019 18:41:48 GMT",America/Los_Angeles
2401,5e17d39ef9af8b3a57ba0fba,"[{'userID': 3853, 'milesRequested': 70, 'WhPerMile': 360, 'minutesAvailable': 382, 'modifiedAt': 'Tue, 24 Dec 2019 17:13:12 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 24 Dec 2019 23:34:57 GMT', 'kWhRequested': 25.2}]",000003853,2_39_78_366_2019-12-24 17:12:56.587330,2-39-78-366,CA-323,0002,0039,"Tue, 24 Dec 2019 17:12:57 GMT","Tue, 24 Dec 2019 22:25:18 GMT",8.313,"Tue, 24 Dec 2019 18:39:07 GMT",America/Los_Angeles
2402,5e17d39ef9af8b3a57ba0fbb,"[{'userID': 567, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 596, 'modifiedAt': 'Tue, 24 Dec 2019 17:16:35 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 25 Dec 2019 03:12:09 GMT', 'kWhRequested': 8.0}]",000000567,2_39_139_28_2019-12-24 17:16:09.138746,2-39-139-28,CA-303,0002,0039,"Tue, 24 Dec 2019 17:16:09 GMT","Wed, 25 Dec 2019 03:18:53 GMT",4.021,"Tue, 24 Dec 2019 18:30:29 GMT",America/Los_Angeles
2403,5e17d39ef9af8b3a57ba0fbc,"[{'userID': 324, 'milesRequested': 20, 'WhPerMile': 444, 'minutesAvailable': 168, 'modifiedAt': 'Tue, 24 Dec 2019 17:50:33 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 24 Dec 2019 20:38:20 GMT', 'kWhRequested': 8.88}]",000000324,2_39_91_437_2019-12-24 17:50:19.872456,2-39-91-437,CA-317,0002,0039,"Tue, 24 Dec 2019 17:50:20 GMT","Wed, 25 Dec 2019 00:25:51 GMT",1.71,"Tue, 24 Dec 2019 18:46:02 GMT",America/Los_Angeles
2404,5e17d39ef9af8b3a57ba0fbd,"[{'userID': 832, 'milesRequested': 40, 'WhPerMile': 400, 'minutesAvailable': 249, 'modifiedAt': 'Tue, 24 Dec 2019 19:08:47 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 24 Dec 2019 23:17:25 GMT', 'kWhRequested': 16.0}]",000000832,2_39_79_379_2019-12-24 19:08:25.495862,2-39-79-379,CA-327,0002,0039,"Tue, 24 Dec 2019 19:08:25 GMT","Tue, 24 Dec 2019 23:36:31 GMT",8.729,"Tue, 24 Dec 2019 21:06:07 GMT",America/Los_Angeles
2405,5e17d39ef9af8b3a57ba0fbe,"[{'userID': 1920, 'milesRequested': 40, 'WhPerMile': 400, 'minutesAvailable': 99, 'modifiedAt': 'Tue, 24 Dec 2019 19:32:21 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 24 Dec 2019 21:11:04 GMT', 'kWhRequested': 16.0}]",000001920,2_39_127_19_2019-12-24 19:32:03.700572,2-39-127-19,CA-309,0002,0039,"Tue, 24 Dec 2019 19:32:04 GMT","Tue, 24 Dec 2019 21:30:37 GMT",5.802,"Tue, 24 Dec 2019 21:24:46 GMT",America/Los_Angeles
2406,5e17d39ef9af8b3a57ba0fbf,"[{'userID': 798, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 78, 'modifiedAt': 'Tue, 24 Dec 2019 20:04:33 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 24 Dec 2019 21:19:56 GMT', 'kWhRequested': 8.0}]",000000798,2_39_138_29_2019-12-24 20:01:55.771361,2-39-138-29,CA-304,0002,0039,"Tue, 24 Dec 2019 20:01:56 GMT","Tue, 24 Dec 2019 21:18:18 GMT",2.107,"Tue, 24 Dec 2019 20:35:48 GMT",America/Los_Angeles
2407,5e1a769bf9af8b41fd094c9f,"[{'userID': 1085, 'milesRequested': 90, 'WhPerMile': 250, 'minutesAvailable': 142, 'modifiedAt': 'Fri, 27 Dec 2019 02:44:05 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 27 Dec 2019 05:05:17 GMT', 'kWhRequested': 22.5}]",000001085,2_39_138_29_2019-12-27 02:43:17.208663,2-39-138-29,CA-304,0002,0039,"Fri, 27 Dec 2019 02:43:17 GMT","Fri, 27 Dec 2019 06:47:25 GMT",17.791,"Fri, 27 Dec 2019 06:42:25 GMT",America/Los_Angeles
2408,5e1bc823f9af8b45cfdfcc4a,"[{'userID': 743, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 65, 'modifiedAt': 'Fri, 27 Dec 2019 16:29:32 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 27 Dec 2019 17:34:06 GMT', 'kWhRequested': 8.0}]",000000743,2_39_89_25_2019-12-27 16:29:05.942597,2-39-89-25,CA-315,0002,0039,"Fri, 27 Dec 2019 16:29:06 GMT","Fri, 27 Dec 2019 18:45:51 GMT",4.045,"Fri, 27 Dec 2019 17:53:37 GMT",America/Los_Angeles
