,0,1,2,3,4,5,6,7
0,Month,Weekday,Second,Days from solstice,Temperature,Precipitation,Solar irradiance,KWH supplied
177,10,0,28800,74,15.4,0.0,0.0,3.531132592967115
178,10,0,32400,74,14.7,0.0,0.0,3.531132592967115
179,10,0,36000,74,14.3,0.0,0.0,3.531132592967115
180,10,0,39600,74,14.1,0.0,0.0,3.531132592967115
181,10,0,43200,74,14.0,0.0,0.0,3.531132592967115
182,10,0,46800,74,13.6,0.0,0.0,3.1189300312054518
183,10,0,50400,74,13.9,0.0,0.0,7.0267875772615875
184,10,0,54000,74,15.6,0.0,37.0,16.576224262019924
185,10,0,57600,74,18.1,0.0,136.0,27.16642126275562
186,10,0,61200,74,20.3,0.0,343.0,41.51644592639728
187,10,0,64800,74,22.0,0.0,497.0,49.749074710569786
188,10,0,68400,74,23.0,0.0,635.0,44.1440384710847
189,10,0,72000,74,24.0,0.0,706.0,30.419170315029476
190,10,0,75600,74,24.2,0.0,602.0,14.619620447257983
191,10,0,79200,74,23.7,0.0,548.0,10.009590748112316
192,10,0,82800,74,22.6,0.0,383.0,12.014439254045305
193,10,1,0,73,21.4,0.0,257.0,10.151642747225718
194,10,1,3600,73,19.7,0.0,96.0,10.135243939058265
195,10,1,7200,73,18.4,0.0,3.0,9.444208776761181
196,10,1,10800,73,17.5,0.0,0.0,16.233415944764186
197,10,1,14400,73,16.8,0.0,0.0,13.384932619639137
198,10,1,18000,73,16.1,0.0,0.0,0.0
199,10,1,21600,73,15.6,0.0,0.0,0.0
200,10,1,25200,73,16.0,0.0,0.0,0.0
201,10,1,28800,73,15.5,0.0,0.0,0.0
202,10,1,32400,73,15.1,0.0,0.0,0.0
203,10,1,36000,73,14.9,0.0,0.0,0.0
204,10,1,39600,73,14.9,0.0,0.0,0.0
205,10,1,43200,73,15.0,0.0,0.0,0.0
206,10,1,46800,73,15.1,0.0,0.0,0.0
207,10,1,50400,73,14.9,0.0,0.0,0.0
208,10,1,54000,73,15.5,0.0,28.0,6.157960125420395
209,10,1,57600,73,16.9,0.0,158.0,29.119683088054455
