,0
159,134.35673706696352
160,146.73282685706687
161,168.87635898724918
162,181.98894858225145
163,181.78760972403984
164,171.61729045867867
165,176.05965876601232
166,171.61132535249996
167,158.2582784939017
168,154.62077350712775
169,139.91303351918543
170,131.65001522710202
171,130.63880004983736
172,130.3293297072725
173,129.76396339189915
174,129.42143025062794
175,129.88343934950393
176,128.94606288061595
177,128.62057813864521
178,128.32757481272785
179,128.18099094310224
180,128.29476457000683
181,128.33862722718118
182,128.96981708873048
183,133.81861441466333
184,145.00053371052434
185,163.75590332397516
186,177.35343075825645
187,188.46827628031343
188,193.41283528221044
189,182.52933763241077
190,177.3039846302022
191,162.77060850900813
192,154.60179464733062
193,140.36625295691215
194,131.80612030425834
195,130.67402951758103
196,130.18264586891314
197,129.77690845559212
198,129.4769898853479
199,129.4990928853249
200,129.20773893861536
201,128.95216516637484
202,128.8023513352644
203,128.65569866870794
204,128.64742495319666
205,128.9127479752218
206,129.27592802699223
207,132.74699316728484
208,145.84998428289424
209,161.4491728815023
210,163.06037663185006
211,183.2303038656062
212,186.5545554094079
213,188.825031371291
214,181.18550289830102
215,168.5910496428308
216,156.31125819175458
217,140.52969341118904
218,131.8488108843285
219,130.68009621993218
220,130.08242443470948
221,129.6278733473629
222,129.34485001808054
223,129.295626675227
224,129.11161325192452
225,128.856039479684
226,128.67202605638153
227,128.59535315648617
228,128.62857185859383
229,128.7710443930556
230,129.43106099294792
231,132.53813700989429
232,136.80251940854225
233,153.27054514699054
234,152.48387000049098
235,169.8110291851711
236,174.34755120693433
237,174.27634929462255
238,179.2323629789828
239,167.19037623263426
240,153.94311621799858
241,139.11177543054907
242,131.80055255487264
243,130.68599927365278
244,130.18461807369542
245,129.76222666592327
246,129.6139934170898
247,129.55730273322638
248,129.480629833331
249,129.33239658449756
250,129.21994351013313
251,129.1036406862373
252,129.01926828727906
253,129.09069826347744
254,129.5452933389271
255,132.83744574805422
256,138.08942301119816
257,147.37078146314116
258,149.3912786208791
259,173.4646602314466
260,163.26002472765626
261,174.2583607445475
262,173.4084704919919
263,163.94587615308728
264,155.7421199116509
265,140.0875986585779
266,132.10897737477666
267,131.29120278229755
268,130.75715524304866
